Type;Rarity;Name;Description
Armor;Tier 1 - Common;Gambeson Armor;<b>Base Thresholds</b>: 5/11, <b>Base Score</b>: 3 <br><b>Flexible</b>: +1 to Evasion
Armor;Tier 1 - Common;Leather Armor;<b>Base Thresholds</b>: 6/13, <b>Base Score</b>: 3
Armor;Tier 1 - Common;Chainmail Armor;<b>Base Thresholds</b>: 7/15, <b>Base Score</b>: 4 <br><b>Heavy</b>: -1 to Evasion
Armor;Tier 1 - Common;Full Plate Armor;"<b>Base Thresholds</b>: 8/17, <b>Base Score</b>: 4 <br><b>Very Heavy</b>: -2 to Evasion; -1 to Agility"
Armor;Tier 4 - Legendary;Legendary Gambeson Armor;<b>Base Thresholds</b>: 11/32, <b>Base Score</b>: 6 <br><b>Flexible</b>: +1 to Evasion
Armor;Tier 4 - Legendary;Legendary Leather Armor;<b>Base Thresholds</b>: 13/36, <b>Base Score</b>: 6
Armor;Tier 4 - Legendary;Legendary Chainmail Armor;<b>Base Thresholds</b>: 15/40, <b>Base Score</b>: 7 <br><b>Heavy</b>: -1 to Evasion
Armor;Tier 4 - Legendary;Legendary Full Plate Armor;"<b>Base Thresholds</b>: 17/44, <b>Base Score</b>: 7 <br><b>Very Heavy</b>: -2 to Evasion; -1 to Agility"
Armor;Tier 4 - Legendary;Dunamis Silkchain;<b>Base Thresholds</b>: 13/36, <b>Base Score</b>: 7 <br><b>Timeslowing</b>: Mark an Armor Slot to roll a d4 and add itsresult as a bonus to your Evasion against an incoming attack.
Armor;Tier 4 - Legendary;Channeling Armor;<b>Base Thresholds</b>: 13/36, <b>Base Score</b>: 6 <br><b>Channeling</b>: +1 to Spellcast Rolls.
Armor;Tier 4 - Legendary;Emberwoven Armor;<b>Base Thresholds</b>: 13/36, <b>Base Score</b>: 6 <br><b>Burning</b>: When an adversary attacks you within Melee range, they mark a Stress.
Armor;Tier 4 - Legendary;Full Fortified Armor;<b>Base Thresholds</b>: 15/40, <b>Base Score</b>: 4 <br><b>Fortified</b>: When you mark an Armor Slot, you reduce the severity of an attack by two thresholds instead of one.
Armor;Tier 4 - Legendary;Veritas Opal Armor;<b>Base Thresholds</b>: 13/36, <b>Base Score</b>: 6 <br><b>Truthseeking</b>: This armor glows when another creature within Close range tells a lie.
Armor;Tier 4 - Legendary;Savior Chainmail;<b>Base Thresholds</b>: 18/48, <b>Base Score</b>: 8 <br><b>Difficult</b>: -1 to all character traits and Evasion.
Armor;Tier 3 - Rare;Advanced Gambeson Armor;<b>Base Thresholds</b>: 9/23, <b>Base Score</b>: 5 <br><b>Flexible</b>: +1 to Evasion
Armor;Tier 3 - Rare;Advanced Leather Armor;<b>Base Thresholds</b>: 11/27, <b>Base Score</b>: 5
Armor;Tier 3 - Rare;Advanced Chainmail Armor;<b>Base Thresholds</b>: 13/31, <b>Base Score</b>: 6 <br><b>Heavy</b>: -1 to Evasion
Armor;Tier 3 - Rare;Advanced Full Plate Armor;"<b>Base Thresholds</b>: 15/35, <b>Base Score</b>: 6 <br><b>Very Heavy</b>: -2 to Evasion; -1 to Agility"
Armor;Tier 3 - Rare;Bellamoi Fine Armor;<b>Base Thresholds</b>: 11/27, <b>Base Score</b>: 5 <br><b>Gilded</b>: +1 to Presence
Armor;Tier 3 - Rare;Dragonscale Armor;<b>Base Thresholds</b>: 11/27, <b>Base Score</b>: 5 <br><b>Impenetrable</b>: Once per short rest, when you would mark your last Hit Point, you can instead mark a Stress.
Armor;Tier 3 - Rare;Spiked Plate Armor;<b>Base Thresholds</b>: 10/25, <b>Base Score</b>: 5 <br><b>Sharp</b>: On a sucessful attack against a target within Melee range, add a d4 to the damage roll.
Armor;Tier 3 - Rare;Bladefare Armor;<b>Base Thresholds</b>: 16/39, <b>Base Score</b>: 6 <br><b>Physical</b>: You can't mark an Armor Slot to reduce magic damage.
Armor;Tier 3 - Rare;Monett's Cloak;<b>Base Thresholds</b>: 16/39, <b>Base Score</b>: 6 <br><b>Magic</b>: You can't mark an Armor Slot to reduce physical damage.
Armor;Tier 3 - Rare;Runes of Fortification;<b>Base Thresholds</b>: 17/43, <b>Base Score</b>: 6 <br><b>Painful</b>: Each time you mark an Armor Slot, you must mark a Stress.
Armor;Tier 2 - Uncommon;Improved Gambeson Armor;<b>Base Thresholds</b>: 7/16, <b>Base Score</b>: 4 <br><b>Flexible</b>: +1 to Evasion
Armor;Tier 2 - Uncommon;Improved Leather Armor;<b>Base Thresholds</b>: 9/20, <b>Base Score</b>: 4
Armor;Tier 2 - Uncommon;Improved Chainmail Armor;<b>Base Thresholds</b>: 11/24, <b>Base Score</b>: 5 <br><b>Heavy</b>: -1 to Evasion
Armor;Tier 2 - Uncommon;Improved Full Plate Armor;"<b>Base Thresholds</b>: 13/28, <b>Base Score</b>: 5 <br><b>Very Heavy</b>: -2 to Evasion; -1 to Agility"
Armor;Tier 2 - Uncommon;Elundrian Chain Armor;<b>Base Thresholds</b>: 9/21, <b>Base Score</b>: 4 <br><b>Warded</b>: You reduce incoming magic damage by your Armor Score before applying to your damage thresholds.
Armor;Tier 2 - Uncommon;Harrowbone Armor;<b>Base Thresholds</b>: 9/21, <b>Base Score</b>: 4 <br><b>Resilient</b>: Before you mark your last Armor Slot, roll a d6. On a result of 6, reduce the severity by one threshold without marking an Armor Slot.
Armor;Tier 2 - Uncommon;Irontree Breastplate Armor;<b>Base Thresholds</b>: 9/20, <b>Base Score</b>: 4 <br><b>Reinforced</b>: When you mark your last ArmorSlot, increase your damage thresholds by +2 until you clear at least 1 Armor Slot.
Armor;Tier 2 - Uncommon;Runetan Floating Armor;<b>Base Thresholds</b>: 9/20, <b>Base Score</b>: 4 <br><b>Shifting</b>: When you are targeted for an attack, you can mark an Armor Slot to give the attack roll against you disadvantage.
Armor;Tier 2 - Uncommon;Tyris Soft Armor;<b>Base Thresholds</b>: 8/18, <b>Base Score</b>: 5 <br><b>Quiet</b>: You gain a +2 bonus to rolls you make to move silently.
Armor;Tier 2 - Uncommon;Rosewild Armor;<b>Base Thresholds</b>: 11/23, <b>Base Score</b>: 5 <br><b>Hopeful</b>: When you would spend a Hope, you can mark an Armor Slot instead.
Consumable;Tier 1 - Common;Stride Potion ;You gain a +1 bonus to your next Agility Roll. 
Consumable;Tier 1 - Common;Bolster Potion ;You gain a +1 bonus to your next Strength Roll. 
Consumable;Tier 1 - Common;Control Potion ;You gain a +1 bonus to your next Finesse Roll. 
Consumable;Tier 1 - Common;Attune Potion ;You gain a +1 bonus to your next Instinct Roll. 
Consumable;Tier 1 - Common;Charm Potion ;You gain a +1 bonus to your next Presence Roll. 
Consumable;Tier 1 - Common;Enlighten Potion ;You gain a +1 bonus to your next Knowledge Roll. 
Consumable;Tier 1 - Common;Minor Health Potion ;Clear 1d4 HP. 
Consumable;Tier 1 - Common;Minor Stamina Potion ;Clear 1d4 Stress. 
Consumable;Tier 1 - Common;Grindletooth Venom ;You can apply this venom to a weapon that deals physical damage to add a d6 to your next damage roll with that weapon. 
Consumable;Tier 1 - Common;Varik Leaves ;You can eat these paired leaves to immediately gain 2 Hope. 
Consumable;Tier 1 - Common;Vial of Moondrip ;When you drink the contents of this vial, you can see in total darkness until your next rest. 
Consumable;Tier 1 - Common;Unstable Arcane Shard ;You can make a Finesse Roll to throw this shard at a group of adversaries within Far range. Targets you succeed against take 1d20 magic damage. 
Consumable;Tier 1 - Common;Potion of Stability ;You can drink this potion to choose one additional downtime move. 
Consumable;Tier 1 - Common;Improved Grindletooth Venom ;You can apply this venom to a weapon that deals physical damage to add a d8 to your next damage roll with that weapon. 
Consumable;Tier 1 - Common;Morphing Clay ;You can spend a Hope to use this clay, altering your face enough to make you unrecognizable until your next rest. 
Consumable;Tier 1 - Common;Vial of Darksmoke ;When an adversary attacks you, use this vial and roll a number of d6s equal to your Agility. Add the highest result to your Evasion against the attack. 
Consumable;Tier 1 - Common;Jumping Root ;Eat this root to leap up to Far range once without needing to roll. 
Consumable;Tier 1 - Common;Snap Powder ;Mark a Stress and clear a HP. 
Consumable;Tier 1 - Common;Armor Stitcher ;You can use this stitcher to spend any number of Hope and clear that many Armor Slots. 
Consumable;Tier 1 - Common;Gill Salve ;You can apply this salve to your neck to breathe underwater for a number of minutes equal to your level. 
Consumable;Tier 1 - Common;Replication Parchment ;By touching this piece of parchment to another, you can perfectly copy the second parchment's contents. Once used, this parchment becomes mundane paper. 
Consumable;Tier 1 - Common;Improved Arcane Shard ;You can make a Finesse Roll to throw this shard at a group of adversaries within Far range. Targets you succeed against take 2d20 magic damage. 
Consumable;Tier 1 - Common;Bead of Nourishment;This bead provides as much nourishment as 1 day of rations.
